Name,Description,Points,IsFungo,RewardTokens
B2-ST: Stima la quantita,"Vi siete chiesti come si sente una ghiandaia che valuta le sue provviste? Allo sportello troverete un barattolo colmo di ghiande. Osservatelo da ogni angolazione e stimate la quantita esatta di frutti. Vietato aprirlo! La sfida e superata se il vostro numero rientra nell intervallo di tolleranza segreto. Se errato, dovrete riprovare dopo qualche minuto.",10,False,0
B3-ST: Stima il numero,"Mettete alla prova la vostra conoscenza del campo con la percezione di un serpente che conosce ogni abitante del bosco. Stimate i numeri sulla popolazione del campo indicati nel foglio allegato. La sfida e superata se tutte le risposte rientrano nell intervallo di tolleranza segreto. Se errate, dovrete indagare tra le tende e riprovare dopo qualche minuto.",20,False,0
B4-VIP: Personalita di spicco 1,"Il campo BeSTiale26 e un ecosistema immenso, ma alcune figure sono ingranaggi fondamentali. La vostra missione e rintracciare Goccia! Presentatevi: vi spieghera il suo ruolo cruciale e vi consegnera un oggetto speciale come prova dell incontro, se lo ha con se. La sfida e superata se mostrate allo sportello l oggetto ricevuto.",10,False,0
B5-VIP: Personalita di spicco 2,"Il campo BeSTiale26 e un ecosistema immenso, ma alcune figure sono ingranaggi fondamentali. La vostra missione e rintracciare System! Presentatevi: vi spieghera il suo ruolo cruciale e vi consegnera un oggetto speciale come prova dell incontro, se lo ha con se. La sfida e superata se mostrate allo sportello l oggetto ricevuto.",10,False,0
B6-VIP: Personalita di spicco 3,"Il campo BeSTiale26 e un ecosistema immenso, ma alcune figure sono ingranaggi fondamentali. La vostra missione e rintracciare Pam! Presentatevi: vi spieghera il suo ruolo cruciale e vi consegnera un oggetto speciale come prova dell incontro, se lo ha con se. La sfida e superata se mostrate allo sportello l oggetto ricevuto.",10,False,0
B7-VIP: Personalita di spicco 4,"Il campo BeSTiale26 e un ecosistema immenso, ma alcune figure sono ingranaggi fondamentali. La vostra missione e rintracciare Body! Presentatevi: vi spieghera il suo ruolo cruciale e vi consegnera un oggetto speciale come prova dell incontro, se lo ha con se. La sfida e superata se mostrate allo sportello l oggetto ricevuto.",10,False,0
B8-VIP: Personalita di spicco 5,"Il campo BeSTiale26 e un ecosistema immenso, ma alcune figure sono ingranaggi fondamentali. La vostra missione e rintracciare Anefa! Presentatevi: vi spieghera il suo ruolo cruciale e vi consegnera un oggetto speciale come prova dell incontro, se lo ha con se. La sfida e superata se mostrate allo sportello l oggetto ricevuto.",10,False,0
B9-VIP: Personalita di spicco 6,"Il campo BeSTiale26 e un ecosistema immenso, ma alcune figure sono ingranaggi fondamentali. La vostra missione e rintracciare Pinta! Presentatevi: vi spieghera il suo ruolo cruciale e vi consegnera un oggetto speciale come prova dell incontro, se lo ha con se. La sfida e superata se mostrate allo sportello l oggetto ricevuto.",10,False,0
B10-VIP: Personalita di spicco 7,"Il campo BeSTiale26 e un ecosistema immenso, ma alcune figure sono ingranaggi fondamentali. La vostra missione e rintracciare Misku! Presentatevi: vi spieghera il suo ruolo cruciale e vi consegnera un oggetto speciale come prova dell incontro, se lo ha con se. La sfida e superata se mostrate allo sportello l oggetto ricevuto.",10,False,0
B11-VIP: Personalita di spicco 8,"Il campo BeSTiale26 e un ecosistema immenso, ma alcune figure sono ingranaggi fondamentali. La vostra missione e rintracciare Chiaretta! Presentatevi: vi spieghera il suo ruolo cruciale e vi consegnera un oggetto speciale come prova dell incontro, se lo ha con se. La sfida e superata se mostrate allo sportello l oggetto ricevuto.",10,False,0
B12-VIP: Personalita di spicco 9,"Il campo BeSTiale26 e un ecosistema immenso, ma alcune figure sono ingranaggi fondamentali. La vostra missione e rintracciare Ele! Presentatevi: vi spieghera il suo ruolo cruciale e vi consegnera un oggetto speciale come prova dell incontro, se lo ha con se. La sfida e superata se mostrate allo sportello l oggetto ricevuto.",10,False,0
S1-SE: Orsetto lavatore,"Nel cuore della foresta, l orsetto lavatore e famoso per le zampette indaffarate. Siete pronti a dimostrare lo stesso spirito di servizio? Presentatevi allo sportello per un incarico di pubblica utilita: riordinare un area comune, aiutare con un trasporto o una manutenzione. Questa sfida e ripetibile ogni giorno del campo! La sfida e superata portando a termine la missione assegnata.",10,True,0
C1-SC: Cruciverba scoutismo,"Per mantenere viva la fiamma dell avventura serve la memoria di una vecchia tartaruga che tramanda le tradizioni. Dimostrate di conoscere la storia di Baden-Powell, i valori della promessa e i segreti del movimento risolvendo il cruciverba allegato. La sfida e superata se vi presentate allo sportello con la griglia interamente compilata e corretta.",20,True,0
C2-REP: Quiz reparti,"La vera forza di un ecosistema sta nella rete di legami tra i suoi abitanti. Ritirate allo sportello un quiz dedicato alle tradizioni e particolarita delle altre sezioni al BeSTiale. Scoprite altri sottocampi, fate amicizie e indagate i segreti dei vicini di tenda. La sfida e superata se riconsegnate il foglio compilato con tutte le risposte corrette.",30,False,0
C3-REP: Mamamuci e grido,"Ogni reparto ha il suo personalissimo verso! Allo sportello vi assegnano un reparto specifico. Recatevi al loro accampamento e fatevi insegnare uno dei loro mamamuci o gridi tipici. La sfida e superata se, tornati allo sportello, vi fate sentire in tutta la valle riproducendo il nuovo grido a pieni polmoni e con la giusta grinta!",20,False,0
C4-REP: Persone,Quanti animali abitano il nostro bosco? Allo sportello vi assegnano un reparto specifico. Recatevi al loro accampamento e fatevi dettare i nomi di tutti gli esploratori presenti al campo. La sfida e superata se la vostra lista risultera perfettamente completa e senza alcun assente.,20,False,0
C5-REP: Intervista,Ogni abitante del bosco ha una storia unica. Allo sportello vi assegnano una sezione. Recatevi e realizzate un intervista video di almeno 3 minuti a un partecipante. Chiedetegli di raccontare la sua biografia scout e le impressioni al BeSTiale26. La sfida e superata se vi presentate allo sportello mostrando il video dell intervista.,30,False,0
C6-SC: Essere aperti e sinceri,"La sincerita e la base di ogni vera amicizia. Ogni membro deve trovare un esploratore che non conosce e raccontargli un momento imbarazzante o un proprio piccolo difetto, chiedendo alla persona di fare altrettanto. La sfida e superata se fate firmare questa pagina al vostro nuovo amico come garanzia dello scambio sincero.",5,False,0
C7-SC: Ascoltare e rispettare gli altri,"Prendetevi 5 minuti quando il campo e vivace. Tutta la pattuglia si siede vicino al centro del campo, chiude gli occhi e resta in rigoroso silenzio. Poi elencate dettagli sonori che non avreste mai notato. La sfida e superata se tornate allo sportello e mostrate cosa avete sentito fermandovi ad ascoltare.",5,False,0
C8-SC: Trasmettere gioia intorno a noi,"Un sorriso puo svoltare la giornata! Portate allegria in un altro sottocampo: inventate una scenetta comica, una barzelletta o una canzone divertente. La sfida e superata se tutta la pattuglia si esibisce davanti a un altro gruppo riuscendo a strappare una bella e rumorosa risata.",5,False,0
C9-SC: Condividere,"Al campo le risorse sono preziose e condividerle rende il gruppo piu unito. Cosa ne dite di alcuni punti sfida? Andate allo sportello e chiedete di voler donare 10 dei vostri punti alla pattuglia attualmente ultima in classifica. Una volta fatto, questa sfida sara considerata superata.",5,True,0
C10-SC: Offrire il nostro aiuto,"Un vero esploratore non aspetta che gli venga chiesto aiuto. Trovate qualcuno nel campo che sta faticando e tutta la pattuglia interviene spontaneamente. La sfida e superata se la persona che avete aiutato vi lascia una firma e un ringraziamento, descrivendo l aiuto prestato.",5,False,0
C11-SC: Amare la vita e proteggere la natura,"Amare la natura significa conoscerla e legarsi ad essa. Esplorate i dintorni e adottate un elemento naturale specifico: un albero, una roccia o fiori selvatici. Scoprite di che specie si tratta, prendetevene cura durante il campo e scrivete una dedica poetica. La sfida e superabile solo nell ultima settimana di campo.",5,False,0
C12-SC: Affrontare con fiducia le difficolta,"Le difficolta fanno meno paura con fiducia assoluta nei compagni. Tutti i membri tranne uno si bendano gli occhi. La guida scortara la pattuglia dal vostro campo allo sportello sfide usando solo la voce, senza prendere nessuno per mano. La sfida e superata se arrivate tutti insieme sani e salvi allo sportello.",5,False,0
C13-SC: Fare delle scelte e prendere degli impegni,"Promettere e facile, mantenere l impegno e la vera sfida. Scegliete un buon proposito concreto per i prossimi tre giorni (es: non ci lamenteremo in escursione). Scrivetelo, registratelo allo sportello e fate partire il cronometro. La sfida e superata se dopo 72 ore confermate con onesta di aver rispettato l impegno.",5,False,0
